barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Barangay 128,Caloocan,4.0,5.888,2.223,0.1091,0.0,0.0,4.67,17.91,0.7438,2014.3
Barangay 129,Pasay,1.2,6.933,4.419,0.81,0.0,0.0,2.53,8.13,0.7481,723.6
Barangay 129,Caloocan,2.3,5.892,3.267,-0.1581,0.0,0.0,3.74,16.93,0.7465,1921.2
Barangay 129,Manila,3.8,0.299,0.0,0.0602,0.0,0.0,3.32,5.26,0.698,172.6
Barangay 13,Pasay,15.9,4.478,7.081,-0.0502,0.0,0.0,2.74,8.36,0.7031,328.3
Barangay 13,Caloocan,3.8,1.594,1.003,0.3376,0.0,0.0,10.08,17.28,0.7231,1427.4
Barangay 130,Pasay,3.7,4.97,5.647,0.3388,0.0,0.0,1.94,7.54,0.7429,575.2
Barangay 130,Caloocan,2.8,2.77,1.787,0.0631,0.0,0.0,2.66,16.08,0.7383,1864.8
Barangay 130,Manila,3.2,0.352,0.365,0.0808,0.0,0.0,1.54,3.64,0.6567,96.8
Barangay 131,Pasay,3.1,5.689,4.762,0.5853,0.0,0.0,2.87,8.47,0.7368,799.1
Barangay 131,Caloocan,4.7,0.407,0.0,0.1145,0.0,0.0,3.55,17.15,0.7487,2072.6
Barangay 131,Manila,2.7,0.108,0.0,-0.0209,0.0,0.0,3.38,5.88,0.7247,334.2
Barangay 132,Caloocan,5.2,0.999,0.559,0.0822,0.0,0.0,5.52,17.22,0.7151,1259.5
Barangay 132,Pasay,0.7,6.928,6.672,0.4955,0.0,0.0,2.07,7.67,0.7412,580.9
Barangay 132,Manila,4.4,1.136,0.802,0.3284,0.0,0.0,1.24,5.75,0.6957,103.2
Barangay 133,Caloocan,3.4,1.36,0.494,0.1489,0.0,0.0,8.16,19.58,0.6924,1421.1
Barangay 133,Pasay,2.2,5.419,4.006,0.5192,0.0,0.0,2.61,8.21,0.7455,930.8
Barangay 133,Manila,7.6,2.153,0.616,0.4529,0.0,0.0,1.94,4.33,0.6091,61.6
Barangay 134,Caloocan,8.9,2.186,4.107,-0.1913,0.0,0.0,6.72,22.84,0.7409,1568.1
Barangay 134,Pasay,3.4,8.517,7.878,0.321,0.0,0.0,1.66,7.26,0.7375,686.4
Barangay 134,Manila,3.3,2.055,2.132,0.4222,0.0,0.0,2.07,5.75,0.7106,200.9
Barangay 135,Caloocan,7.6,2.253,3.716,-0.1267,0.0,0.0,8.57,24.22,0.7359,1671.9
